Heft,Jahr (soweit angegeben),Titel,Besetzung (soweit angegeben),Bemerkung
Heft 1 - Brigitte für frohes Singen und Spielen,1954,Brigitte für frohes Singen und Spielen,Überschrift,Im schönsten Frühling des Jahres 1954 - Manuel
16.09.2025 bearbeitet,1954,Ballade vom Junker Martin,Gitarre und Singstimme,aus den Nordischen Liedern
,1954,Der Landfahrer,Gitarre und Singstimme,
,1954,Maria saß mit ihrem Kind,Gitarre und Singstimme,
,1954,Ballade - Ritterlied,Gitarre und Singstimme,
,1954,Landsknechtslied,Gitarre und Singstimme,
,1954,Frühlingsluft,Gitarre und Singstimme,
,1954,Liebeslust,Gitarre und Singstimme,J. v. Eichendorff
,1954,Ballade - Loreley,Gitarre und Singstimme,J. v. Eichendorff
,1954,In der Freude,Gitarre und Singstimme,J. v. Eichendorff
,1954,Heimweh,Gitarre und Singstimme,J. v. Eichendorff
,1954,Erinnerung,Singstimme,J. v. Eichendorff
,1954,Der Vögel Abschied,Singstimme,J. v. Eichendorff
,1954,Durch,Singstimme,J. v. Eichendorff
,1954,Abschied,Singstimme,J. v. Eichendorff
,1954,Der Einsiedler,Singstimme,J. v. Eichendorff
,1954,Nachtgruß,Singstimme,J. v. Eichendorff
,,,,
"Heft 2 - Choräle, Vogt 1965/66",,Herr Jesu Christ…,Orgel,
16.09.2025 bearbeitet,,Akkord-Material,Orgel,
,,Sämtliche reine Quarten,Orgel,
,,Introitus 1,Orgel,
,1965,Psalm 27,Chor,
,,Choral - Liebster Jesu 151,,
,1965,Die helle Sonne leucht,Bläser,für 100-jähriges Jubiläum des Pos. Chores Neuendettelsau
,,"Psalm 23, Der Her ist mein Hirte…",Chor,
,,Sollen ihn preisen…,Chor,
,1965,Psalm 24,Chor - Männer,
,,"Hosianna, Davids Sohn",,
,,,,
Heft 3 - Kanonheft - Immanuel Vogt,1947,"Alles, was Odem hat, lobe den Herrn",Singstimme,"29.07,1947"
begonnen 1947,1954,Abschied,Singstimme,J. v. Eichendorff
16.09.2025 bearbeitet,1954,Der Einsiedler,Singstimme,J. v. Eichendorff
,1954,Nachtgruß,Singstimme,J. v. Eichendorff
,,Wenn mein Stündlein,"Piano, evtl. Orgel",1. Fassung
,,Wer kann der Treu,"Piano, evtl. Orgel",
,,Wenn mein Stündlein,"Piano, evtl. Orgel",2. Fassung
,,Adventsbitte - Jesus Christus…,"Piano, evtl. Orgel",
,,Fanget an,"Piano, evtl. Orgel",Fragment
,,Fanget an,"Piano, evtl. Orgel",2. Fassung
,,Glaube mir,"Piano, evtl. Orgel",
,,An Deinem Herzen,"Piano, evtl. Orgel",Für Mutter
,,Meinem Gott gehört die Welt,"Piano, evtl. Orgel",
,1962,Ostersieg,"Piano, evtl. Orgel",
,,,,
Heft 4,,Litauer 1528,,
,,"Dem Worte, Herr, bring uns zusammen","Piano, evtl. Orgel",
,,"Ach, was soll ich Sünder machen",Orgel,
,1958,Ich danke Gott und freue mich,"Singstimme, Orgel",
,1958,Reiß den Schleier doch von…,"Singstimme, Piano",01.10.58 im E-Zug nach Bayreuth
,,Es fährt heute Gottes Sohn,"Piano, evtl. Orgel",
,,"Ach, wie flüchtig - Choral",Posaunen-Chor,
,,,,
Heft 5 - Musikalische Arbeiten 1956,,Alter Tanz für Blech-Quartett,Bläser,
,,Am Brunnen vor dem Tore,Bläser,
,1959,Intrade ,Bläser,über das Lied: Der Winter ist vergangen
,,Fortsetzung der Intrade von Seite 2,Bläser,
,,Durch…,"Chor, Piano",J. v. Eichendorff
,1956,Sei Lob und Ehr…,,
,,Nun will der Lenz uns grüßen,?,Skizze
,1959,"Motette, Das Wort war Fleisch",Chor,
,,,,
Heft 6 - Unser Haus-Trio 1956,1956,Ein Landler-Walzer,Blockflöten,"C-Flöte: Gabriele, F-Flöte: Papa, C-Tenor: Mammi"
,,"Ihr lieben Christen, freut euch nun…","Blockflöten, Singstimme, Piano?",Bleistift-Manuskript
,,"Vorspiel zu ""Stille Nacht""","Blockflöten, Piano",Bleistift-Manuskript
,,Ohne Titel,Piano,
,,Wie groß ist der Allmächtigen Güte,Piano,Bleistift-Manuskript
,1958,Der du die Tiere weidest I,"Singstimme, Piano",Bleistift-Manuskript
,1958,Der du die Tiere weidest II,"Singstimme, Piano",Bleistift-Manuskript
,,"Motette ""Herr, nun lässest Du…""",Chor?,Bleistift-Manuskript
,1958,Der du die Tiere weidest,Frauenchor,Bleistift-Manuskript
,,,,
Heft 7,,"Komm, o komm du Geist des Lebens",Intonation - Orgel,Bleistift-Maniskript
,,Wir warten dein…,Intonation - Orgel,Bleistift-Maniskript
,,Liebster Jesu (Tauflied 151),Intonation - Orgel,Bleistift-Maniskript
,,Nun danket alle Gott,Intonation - Orgel,Bleistift-Maniskript
,,Intonation z. Jesu geh' voran,Intonation - Orgel,Bleistift-Maniskript
,1964,Liebster Jesu,Orgel,Bleistift-Maniskript
,1964,Aus tiefer Not…I und II,Orgel,Bleistift-Maniskript
,,,,
Heft 8,,G. F. Händel - Sonaten für Violine und Klavier,Abschriften,keine eigenen Kompositionen
,,,,
Heft 9,1958 - 1962,"Arbeitsheft, Posaunenchor",Arbeitstagebuch,keine Kompositionen
,,,,
Heft 10,1943,"Psalm 24,7 - No. 9 - auch Hauptliste",Chor,1943-11-06 00:00:00
,1943,"Psalm 60, 1 - 2 - auch Hauptliste",Chor,1943-12-18 00:00:00
,1947,Monatsspruchmotetten - auch Hauptliste,Chor,
,1947,Mein Volk - auch Hauptliste,Chor,Fragment
,,,,
Heft 11,,Musikpädagogische Grundsätze,,schriftliche Ausführungen
