ID,Titel,Verlag,Erschienen,Bemerkungen
1,Windsbacher Bläserheft,"Verlag G. und G. Schulist, Heilsbronn",1988,
2,Orgelbuch für Landorganisten I,"Verlag G. und G. Schulist, Heilsbronn",1982,
3,Orgelbuch für Landorganisten II,"Verlag G. und G. Schulist, Heilsbronn",1982,
4,Eine große Freud…,"Saaleck-Verlag, Hammelburg",1985,
5,Horch wie die Schar der Engel…,"Saaleck-Verlag, Hammelburg",1985,
6,"Emanuel Vogt, Psalm 23 für Sopran, Flöte und Orgel","Strube-Verlag, München",?,
7,"Emanuel Vogt, Noel X","Strube-Verlag, München",?,Bläsermusik in Einzelausgaben - Edition 2623
8,"Emanuel Vogt, Norwegische Intrade","Strube-Verlag, München",?,
9,Psalmen in Tonsätzen zu drei und vier Stimmen I und II,Eigenverlag,1978,
10,Psalmen in Tonsätzen zu drei und vier Stimmen I und II,Eigenverlag,1979,
11,"Emanuel Vogt, Windsbacher Psalmen zu drei bis vier Stimmen","Strube-Verlag, München",1988,
12,"Emanuel Vogt, Windsbacher Psalmen, Heft II","Strube-Verlag, München",1988,Korrekturexemplar
13,"Chorpartitur (Männer), Geh aus mein Herz",Eigenverlag,1976,Ev. Kirchenchor Windsbach
14,"Chorpartitur (Frauen), Geh aus mein Herz",Eigenverlag,1976,Ev. Kirchenchor Windsbach
15,"Windbacher Psalmen, Heft II","Strube-Verlag, München",1988,Korrekturexemplar
16,"Emanuel Vogt, Nun freut euch, lieben Christen g'mein",Eigenverlag,,"Freimund-Druckerei, Neuendettelsau"
17,Psalmen in Tonsätzen zu drei und vier Stimmen I und II,Eigenverlag,1978,Korrekturexemplar
