Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2,4.0,,Erbarme dich meiner…,Männer,,x,"Eigenverlag 1975/1978, Strube, Heft II",,
8,19.0,1 - 7,Die Himmel erzählen…,Knabenchor,1964.0,x,"Eigenverlag 1975/1978, Strube, Heft II",,
11a,22.0,1 - 12,"Mein Gott, mein Gott",,,,"Strube, Heft II",,
22,24.0,,Die Erde ist des Herrn…,Männer,1972.0,,"Eigenverlag 1975/1978, Strube, Heft II",Motette für Männerchor,
35,31.0,,Sei mir ein starker Fels…,,1972.0,x,"Eigenverlag 1975/1978, Strube Heft 2",,
43,42.0,"2 - 6, 9  - 12",Wie der Hirsch schreiet…,Knabenchor,1995.0,x,"Eigenverlag 1975/1978, Strube, Heft II","Für Karl Friedrich Behringer - ""Windsbacher Psalmen""",
64,92.0,"2, 6 - 9",Das ist ein köstlich Ding..,,,x,"Strube, Heft II","""Windsbacher Psalmen""",
69,95.0,1 - 7,Kommt herzu…,Knabenchor,1973.0,x,Eigenverlag 1975/1978,"""Windsbacher Psalmen""",
69a,96.0,1 - 9,Lobet Gott den Herrn…,Männer,,,"Strube, Heft II",,
76,102.0," 1 - 8, 13 - 18",Herr erhöre mein Gebet…,Männer,,,"Strube, Heft II","""Windsbacher Psalmen""",
80,103.0,"3, 8, 10 - 13, 17, 18","Lobet den Herrn, meine Seele",Knabenchor,1972.0,x,"Eigenverlag 1975/1978, Strube, Heft II",überarbeitet 1981,
114,143.0,1 - 11,Ich breite meine Hände…,Knabenchor,1964.0,x,"Eigenverlag 1975/1978, Strube, Heft II","""Windsbacher Psalmen""","Psalmen"", 3. Auflage 1967, Der Drehbacher Kantorei und ihrem Leiter…"
119,148.0,1 - 14,Lobet den Herren…,"Chor, Orgel",1970.0,x,"Strube, Heft II",Orgelpräludium,
122,149.0,,"Halleluja, Halleluja…",Knabenchor,1964.0,x,"Eigenverlag 1975/1978, Strube, Heft II","""Windsbacher Psalmen""",
125,,Jesaja 53,"Siehe, das ist Gottes Lamm..",Knabenchor,1972.0,x,"Eigenverlag 1975/1978, Strube, Heft II","""Windsbacher Psalmen""",
