filename,filepath,work_number,sample_range,omr_grade,omr_prediction,omr_reasons,width,height,dpi_estimate,mean_brightness,std_brightness,contrast_ratio,is_color,dpi_grade,contrast_grade,pages_analyzed
48 - Psalm 47 - Seite 1.pdf,files/Psalmen/Die Noten/48 - Psalm 47 - Seite 1.pdf,48,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,2584,3653,312.5,222.66,78.46,255.0,True,A,A,1
91b - Inmitten der Nacht.pdf,files/Werke - außer Psalmen/Werke 81 bis 100/91b - Inmitten der Nacht.pdf,91b,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,2584,3653,312.5,247.06,39.53,255.0,True,A,A,1
11 - EG 11 - Wie soll ich dich....pdf,files/Werke - außer Psalmen/Werke 1 bis 20/11 - EG 11 - Wie soll ich dich....pdf,11,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,2584,3653,312.5,226.79,74.48,255.0,True,A,A,1
7 - Psalm 19 - Seite 2.pdf,files/Psalmen/Die Noten/7 - Psalm 19 - Seite 2.pdf,7,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,2584,3653,312.5,234.95,63.12,255.0,True,A,A,1
191 - Danza Hungaria - Seiten 2 - 5.pdf,files/Werke - außer Psalmen/Werke 181 bis 200/191 - Danza Hungaria - Seiten 2 - 5.pdf,191,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,5167,7307,625.1,220.04,48.42,248.0,True,A,A,3
298 - Ohne Titel.pdf,files/Werke - außer Psalmen/Werke 281 bis 300/298 - Ohne Titel.pdf,298,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,3444,4871,416.7,240.94,31.85,248.0,True,A,A,1
"1974, 1975, 1976 - Dem die Hirten lobeten sehre, etc..pdf","files/Werke - außer Psalmen/Werke 1961 - 1981/1974, 1975, 1976 - Dem die Hirten lobeten sehre, etc..pdf",1974,N/A,C,May require preprocessing,Low resolution (<150 DPI); Excellent contrast,1011,1598,136.7,230.4,30.29,249.0,True,D,A,2
1417 - Ein Vogel hat gesungen.pdf,files/Werke - außer Psalmen/Werke 1401 - 1420/1417 - Ein Vogel hat gesungen.pdf,1417,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1248,1769,151.3,230.85,42.21,248.33,True,C,A,1
"1810 - Lobe den Herren, den....pdf","files/Werke - außer Psalmen/Werke 1801 - 1820/1810 - Lobe den Herren, den....pdf",1810,N/A,C,May require preprocessing,Low resolution (<150 DPI); Excellent contrast,947,1609,137.6,224.34,41.23,247.33,True,D,A,1
758 - Das menschliche Leben eilt....pdf,files/Werke - außer Psalmen/Werke 741 - 760/758 - Das menschliche Leben eilt....pdf,758,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1277,1763,154.4,232.41,67.46,255.0,True,C,A,1
422 - Fröhliche Weihnacht - Titelseite.pdf,files/Werke - außer Psalmen/Werke 421 bis 440/422 - Fröhliche Weihnacht - Titelseite.pdf,422,N/A,A,Excellent OMR candidate,Excellent resolution (≥300 DPI); Excellent contrast,3444,4871,416.7,133.68,12.42,250.0,True,A,A,1
"552 - Guter Mond, du gehst so stille....pdf","files/Werke - außer Psalmen/Werke 541 bis 560/552 - Guter Mond, du gehst so stille....pdf",552,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1248,1763,150.9,238.11,61.81,255.0,True,C,A,1
883 - Präludium h-moll.pdf,files/Werke - außer Psalmen/Werke 881 bis 900/883 - Präludium h-moll.pdf,883,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1246,1761,150.7,238.43,58.01,255.0,True,C,A,3
1045 - Passions-Oster-Meditation.pdf,files/Werke - außer Psalmen/Werke 1041 - 1060/1045 - Passions-Oster-Meditation.pdf,1045,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1276,1781,154.3,241.11,53.23,255.0,True,C,A,3
905 - Choralgebundes Interludium.pdf,files/Werke - außer Psalmen/Werke 901 - 920/905 - Choralgebundes Interludium.pdf,905,N/A,B,Good OMR candidate,Acceptable resolution (≥150 DPI); Excellent contrast,1254,1767,151.6,227.26,74.77,255.0,True,C,A,1
